1-2k,,2-3k,,3-4k,,4-5k,,5-6k,,6-7.5k,,7.5-10k,
Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),
528,33.38658,528,19.72461,528,12.42911,528,8.63667,528,7.52524,528,6.88405,528,6.34501
527,33.5281,527,19.9857,527,12.6359,527,8.81434,527,7.68503,527,7.02182,527,6.46601
526,33.78444,526,20.22078,526,12.86253,526,8.99656,526,7.84442,526,7.17143,526,6.5913
525,33.88297,525,20.4134,525,13.04749,525,9.1278,525,7.97996,525,7.27775,525,6.71342
524,34.03808,524,20.63006,524,13.23898,524,9.29431,524,8.12805,524,7.42777,524,6.85891
523,34.18366,523,20.79965,523,13.39903,523,9.43275,523,8.25851,523,7.55814,523,6.95501
522,34.22208,522,20.92778,522,13.54726,522,9.55467,522,8.37301,522,7.66172,522,7.05619
521,34.31881,521,21.12243,521,13.70263,521,9.68581,521,8.49722,521,7.77513,521,7.18727
520,34.39573,520,21.23082,520,13.8147,520,9.76924,520,8.59402,520,7.85668,520,7.2545
519,34.46169,519,21.34834,519,13.92638,519,9.8795,519,8.69015,519,7.95374,519,7.35849
518,34.46499,518,21.41242,518,14.03387,518,9.96114,518,8.76384,518,8.03252,518,7.4442
517,34.50446,517,21.45735,517,14.09353,517,10.01292,517,8.84949,517,8.09372,517,7.48918
516,34.54281,516,21.51475,516,14.16795,516,10.09749,516,8.90796,516,8.16045,516,7.56843
515,34.57965,515,21.58527,515,14.20613,515,10.15337,515,8.96677,515,8.2133,515,7.62361
514,34.59698,514,21.64903,514,14.27551,514,10.1794,514,9.01175,514,8.25293,514,7.66607
513,34.67263,513,21.69069,513,14.32349,513,10.24003,513,9.05275,513,8.3127,513,7.70919
512,34.71442,512,21.73161,512,14.34279,512,10.25418,512,9.06951,512,8.32458,512,7.73886
511,34.74939,511,21.78785,511,14.38868,511,10.30018,511,9.10148,511,8.36851,511,7.76901
510,34.91591,510,21.86461,510,14.43765,510,10.34524,510,9.1411,510,8.39823,510,7.80977
509,35.01309,509,21.95211,509,14.49252,509,10.37171,509,9.15848,509,8.41831,509,7.83966
508,35.16962,508,22.04229,508,14.53301,508,10.39262,508,9.19556,508,8.44912,508,7.87048
507,35.35265,507,22.1568,507,14.56417,507,10.42517,507,9.21524,507,8.48046,507,7.87243
506,35.54813,506,22.2571,506,14.65242,506,10.44871,506,9.25065,506,8.49353,506,7.8863
505,35.69671,505,22.3965,505,14.71932,505,10.49814,505,9.27729,505,8.50648,505,7.91117
504,35.92671,504,22.55126,504,14.81414,504,10.54666,504,9.30319,504,8.54794,504,7.96124
503,36.16241,503,22.71218,503,14.92284,503,10.59444,503,9.33925,503,8.58411,503,7.97668
502,36.43263,502,22.9029,502,15.00233,502,10.65944,502,9.37975,502,8.61664,502,7.99685
501,36.65896,501,23.08748,501,15.11213,501,10.73624,501,9.43978,501,8.65959,501,8.03646
500,36.95597,500,23.27288,500,15.18538,500,10.78496,500,9.47391,500,8.67977,500,8.06645
499,37.31024,499,23.53459,499,15.39199,499,10.90453,499,9.54956,499,8.75678,499,8.12959
498,37.64394,498,23.73217,498,15.51599,498,10.97589,498,9.59488,498,8.81822,498,8.16776
497,37.92745,497,24.02469,497,15.67628,497,11.03325,497,9.66446,497,8.88136,497,8.22866
496,38.22904,496,24.25922,496,15.83009,496,11.15165,496,9.73866,496,8.91579,496,8.27607
495,38.66705,495,24.57581,495,16.05377,495,11.28571,495,9.85478,495,9.0364,495,8.35283
494,38.96046,494,24.86766,494,16.1949,494,11.38861,494,9.92319,494,9.05851,494,8.38668
493,39.37266,493,25.17467,493,16.45716,493,11.54624,493,10.04748,493,9.16707,493,8.50017
492,39.70614,492,25.5541,492,16.7049,492,11.67113,492,10.15442,492,9.29016,492,8.55398
491,40.24306,491,25.93672,491,16.91783,491,11.85247,491,10.28187,491,9.41079,491,8.67792
490,40.56663,490,26.27234,490,17.15222,490,11.98556,490,10.41727,490,9.49269,490,8.76836
489,40.94769,489,26.66242,489,17.42583,489,12.15446,489,10.52932,489,9.60121,489,8.86443
488,41.40709,488,27.02443,488,17.67826,488,12.36331,488,10.67344,488,9.6976,488,8.96593
487,41.87009,487,27.44012,487,18.00301,487,12.54805,487,10.84368,487,9.85464,487,9.08233
486,42.3021,486,27.88232,486,18.33397,486,12.76577,486,10.98848,486,10.00621,486,9.21379
485,42.70853,485,28.30878,485,18.67681,485,12.99822,485,11.18291,485,10.17414,485,9.33949
484,43.09213,484,28.73479,484,19.01388,484,13.21884,484,11.36838,484,10.31541,484,9.4901
483,43.65704,483,29.23653,483,19.40137,483,13.49699,483,11.59902,483,10.49005,483,9.66481
482,44.04283,482,29.72386,482,19.80497,482,13.77379,482,11.78866,482,10.68163,482,9.78572
481,44.51348,481,30.23089,481,20.17149,481,14.01338,481,12.00658,481,10.85665,481,9.94946
480,44.94849,480,30.70756,480,20.55849,480,14.29122,480,12.22873,480,11.0679,480,10.11867
479,45.32257,479,31.19084,479,20.98846,479,14.58097,479,12.45852,479,11.25544,479,10.2829
478,45.70903,478,31.70836,478,21.40562,478,14.90247,478,12.72045,478,11.48287,478,10.47852
477,46.11591,477,32.19032,477,21.86454,477,15.22201,477,12.97859,477,11.72214,477,10.69316
476,46.5588,476,32.7004,476,22.3228,476,15.54296,476,13.26614,476,11.95714,476,10.89952
475,46.94728,475,33.22865,475,22.79777,475,15.90693,475,13.55525,475,12.2124,475,11.1148
474,47.3399,474,33.74782,474,23.2859,474,16.2724,474,13.85606,474,12.4703,474,11.34328
473,47.60209,473,34.26087,473,23.75487,473,16.63656,473,14.1598,473,12.73366,473,11.57055
472,48.01196,472,34.75889,472,24.26661,472,17.0199,472,14.48057,472,13.00268,472,11.81106
471,48.35858,471,35.27298,471,24.77178,471,17.41886,471,14.84695,471,13.31469,471,12.07634
470,48.6285,470,35.77233,470,25.27954,470,17.81228,470,15.17849,470,13.6287,470,12.35341
469,48.89782,469,36.22249,469,25.76079,469,18.2292,469,15.53425,469,13.9307,469,12.6123
468,49.18538,468,36.69231,468,26.27593,468,18.66499,468,15.91452,468,14.29062,468,12.92368
467,49.39587,467,37.15016,467,26.77776,467,19.06365,467,16.2746,467,14.59011,467,13.22559
466,49.56869,466,37.58117,466,27.26217,466,19.50088,466,16.65344,466,14.94428,466,13.51961
465,49.76011,465,37.95077,465,27.73796,465,19.9135,465,17.05927,465,15.28218,465,13.8161
464,49.9084,464,38.33685,464,28.23766,464,20.34357,464,17.42031,464,15.64321,464,14.15621
463,50.01278,463,38.65315,463,28.68821,463,20.72246,463,17.8068,463,15.98904,463,14.47571
462,50.08271,462,38.95789,462,29.13085,462,21.14772,462,18.20271,462,16.38105,462,14.80174
461,50.12294,461,39.27629,461,29.56987,461,21.55082,461,18.58917,461,16.73726,461,15.14253
460,50.20248,460,39.61493,460,30.00545,460,21.97013,460,19.01405,460,17.11627,460,15.51746
459,50.31594,459,39.83043,459,30.37896,459,22.37142,459,19.38205,459,17.48168,459,15.87104
458,50.25561,458,40.07149,458,30.70492,458,22.69056,458,19.74016,458,17.81432,458,16.20064
457,50.28037,457,40.23716,457,31.06334,457,23.06326,457,20.14128,457,18.19048,457,16.55121
456,50.24803,456,40.41446,456,31.3679,456,23.42255,456,20.52475,456,18.54445,456,16.91109
455,50.21171,455,40.51625,455,31.64378,455,23.7426,455,20.8668,455,18.90453,455,17.25476
454,50.18582,454,40.6943,454,31.9449,454,24.05871,454,21.1874,454,19.258,454,17.58471
453,50.05255,453,40.74348,453,32.20477,453,24.36309,453,21.52649,453,19.59342,453,17.91805
452,50.01683,452,40.8074,452,32.37359,452,24.60408,452,21.85207,452,19.89579,452,18.24705
451,49.89106,451,40.91125,451,32.57495,451,24.85674,451,22.10602,451,20.18066,451,18.57716
450,49.80514,450,40.95651,450,32.72048,450,25.06818,450,22.4013,450,20.46047,450,18.85206
449,49.70691,449,40.94073,449,32.84355,449,25.27747,449,22.66144,449,20.74195,449,19.15308
448,49.68868,448,41.00944,448,32.99313,448,25.49929,448,22.88453,448,20.99032,448,19.40494
447,49.56501,447,40.99838,447,33.1649,447,25.64351,447,23.11282,447,21.2801,447,19.64343
446,49.58392,446,41.06659,446,33.3012,446,25.83484,446,23.35996,446,21.53658,446,19.94112
445,49.45965,445,41.1147,445,33.41338,445,25.99675,445,23.53829,445,21.73602,445,20.20493
444,49.36803,444,41.09929,444,33.47094,444,26.10267,444,23.70788,444,21.87566,444,20.39493
443,49.4529,443,41.15347,443,33.61108,443,26.28616,443,23.87474,443,22.11351,443,20.61513
442,49.37591,442,41.23824,442,33.70956,442,26.35839,442,24.0503,442,22.28887,442,20.79994
441,49.33253,441,41.25302,441,33.78678,441,26.51835,441,24.18416,441,22.4417,441,20.98034
440,49.45552,440,41.34923,440,33.9474,440,26.68069,440,24.36304,440,22.60827,440,21.21106
439,49.41365,439,41.43694,439,34.03016,439,26.77757,439,24.51618,439,22.75887,439,21.3368
438,49.42341,438,41.46031,438,34.12882,438,26.88503,438,24.63315,438,22.91282,438,21.46439
437,49.54002,437,41.60942,437,34.24642,437,27.03974,437,24.77988,437,23.04923,437,21.63987
436,49.57296,436,41.72185,436,34.41889,436,27.18218,436,24.9391,436,23.17435,436,21.80272
435,49.69048,435,41.8696,435,34.5518,435,27.32818,435,25.07901,435,23.34832,435,21.95876
434,49.786,434,42.02907,434,34.77668,434,27.47842,434,25.26201,434,23.50376,434,22.07468
433,49.80154,433,42.15563,433,34.96431,433,27.65287,433,25.39107,433,23.64289,433,22.17823
432,49.99252,432,42.34537,432,35.18497,432,27.8716,432,25.59349,432,23.83046,432,22.37902
431,50.04354,431,42.56859,431,35.4084,431,28.01888,431,25.73928,431,23.99639,431,22.56339
430,50.15896,430,42.7492,430,35.65788,430,28.20927,430,25.93582,430,24.1843,430,22.73842
429,50.27272,429,42.94559,429,35.84444,429,28.45077,429,26.13911,429,24.31257,429,22.87717
428,50.29681,428,43.13016,428,36.06095,428,28.59623,428,26.32886,428,24.49828,428,23.05501
427,50.36945,427,43.28757,427,36.29524,427,28.83464,427,26.52142,427,24.6831,427,23.19843
426,50.49416,426,43.45757,426,36.55923,426,29.09271,426,26.77189,426,24.87817,426,23.40053
425,50.59179,425,43.65593,425,36.78508,425,29.34188,425,26.99699,425,25.09017,425,23.62275
424,50.68439,424,43.82903,424,37.033,424,29.58983,424,27.21889,424,25.33921,424,23.78068
423,50.78142,423,43.91364,423,37.28911,423,29.79599,423,27.39762,423,25.54368,423,23.9715
422,50.74345,422,44.08504,422,37.50211,422,30.02326,422,27.66549,422,25.77101,422,24.20117
421,50.73339,421,44.23056,421,37.70531,421,30.28645,421,27.95049,421,25.99227,421,24.44388
420,50.70195,420,44.3124,420,37.89077,420,30.48181,420,28.1539,420,26.18008,420,24.59797
419,50.68327,419,44.4454,419,38.07716,419,30.69039,419,28.34407,419,26.39672,419,24.80596
418,50.64087,418,44.52038,418,38.20903,418,30.89248,418,28.56216,418,26.63121,418,25.00743
417,50.57041,417,44.51147,417,38.41727,417,31.11424,417,28.75461,417,26.84257,417,25.23102
416,50.5136,416,44.58674,416,38.5588,416,31.25261,416,28.97296,416,27.06115,416,25.48214
415,50.49004,415,44.57753,415,38.66256,415,31.43607,415,29.16506,415,27.27667,415,25.68118
414,50.45109,414,44.62436,414,38.79507,414,31.63554,414,29.36274,414,27.47232,414,25.89166
413,50.32877,413,44.71665,413,38.91744,413,31.74811,413,29.51125,413,27.67149,413,26.08217
412,50.16023,412,44.65533,412,38.9404,412,31.85555,412,29.70566,412,27.84349,412,26.23252
411,50.03934,411,44.59735,411,39.03071,411,31.97458,411,29.87568,411,27.97044,411,26.39556
410,50.00212,410,44.60499,410,39.13494,410,32.14143,410,30.02289,410,28.14238,410,26.586
409,49.83786,409,44.5433,409,39.17263,409,32.24991,409,30.14576,409,28.25019,409,26.73578
408,49.71854,408,44.41645,408,39.20184,408,32.27149,408,30.20151,408,28.3619,408,26.85259
407,49.58842,407,44.35129,407,39.21039,407,32.36807,407,30.3135,407,28.49197,407,26.99658
406,49.4607,406,44.35774,406,39.23974,406,32.43885,406,30.48162,406,28.65936,406,27.14578
405,49.35812,405,44.37908,405,39.22707,405,32.51965,405,30.58353,405,28.80164,405,27.25272
404,49.17877,404,44.32305,404,39.17824,404,32.55697,404,30.62985,404,28.83886,404,27.35476
403,49.13525,403,44.19261,403,39.20755,403,32.55792,403,30.6898,403,28.89599,403,27.43945
402,49.06141,402,44.11291,402,39.20687,402,32.59467,402,30.76414,402,28.97327,402,27.51605
401,48.95523,401,44.11985,401,39.2013,401,32.66185,401,30.8085,401,28.99223,401,27.59766
400,48.80424,400,44.02418,400,39.22742,400,32.68865,400,30.83749,400,29.06921,400,27.6483
399,48.77108,399,44.04284,399,39.26358,399,32.7593,399,30.89485,399,29.19202,399,27.72429
398,48.71802,398,44.0039,398,39.22093,398,32.75839,398,30.94753,398,29.24521,398,27.78094
397,48.51549,397,43.88205,397,39.18792,397,32.71918,397,31.01546,397,29.29583,397,27.85339
396,48.37891,396,43.8192,396,39.16209,396,32.76078,396,31.01864,396,29.3228,396,27.9414
395,48.30087,395,43.82651,395,39.18122,395,32.86226,395,31.08599,395,29.37107,395,28.01751
394,48.17975,394,43.77828,394,39.22465,394,32.8471,394,31.1448,394,29.42037,394,28.05533
393,48.04018,393,43.6931,393,39.21844,393,32.85224,393,31.19521,393,29.43323,393,28.06854
392,47.94645,392,43.64541,392,39.24321,392,32.92171,392,31.26018,392,29.52618,392,28.13129
391,47.90128,391,43.55431,391,39.20886,391,32.95695,391,31.29128,391,29.59305,391,28.20044
390,47.80748,390,43.44906,390,39.10513,390,32.97319,390,31.32183,390,29.58022,390,28.26496
389,47.71495,389,43.40979,389,39.09395,389,32.98355,389,31.3579,389,29.64237,389,28.29095
388,47.62393,388,43.34525,388,39.10694,388,33.01489,388,31.3558,388,29.72678,388,28.33577
387,47.49403,387,43.30966,387,39.12607,387,33.01139,387,31.37232,387,29.78303,387,28.41134
386,47.42147,386,43.26808,386,39.1398,386,33.01314,386,31.46288,386,29.82995,386,28.47244
385,47.39265,385,43.19082,385,39.07057,385,33.02652,385,31.49017,385,29.86669,385,28.52634
384,47.31866,384,43.13516,384,39.05055,384,33.04781,384,31.51144,384,29.88399,384,28.59523
383,47.22088,383,43.10894,383,39.04352,383,33.08923,383,31.56466,383,29.89583,383,28.66799
382,47.06675,382,43.03903,382,39.08192,382,33.10917,382,31.58201,382,29.93939,382,28.68835
381,46.94953,381,42.94835,381,39.10648,381,33.13214,381,31.59791,381,30.04364,381,28.73624
380,46.8351,380,42.90264,380,39.01442,380,33.14952,380,31.69463,380,30.10352,380,28.78404
379,46.74535,379,42.8398,379,38.97393,379,33.13395,379,31.77917,379,30.14053,379,28.8247
378,46.73934,378,42.84888,378,38.87411,378,33.24741,378,31.85215,378,30.16363,378,28.91006
377,46.58243,377,42.85346,377,38.86967,377,33.37666,377,31.90843,377,30.20333,377,29.00252
376,46.53426,376,42.59138,376,38.89607,376,33.34055,376,31.87859,376,30.32613,376,28.97566
375,46.44976,375,42.50905,375,38.83106,375,33.21987,375,31.85286,375,30.32556,375,29.06991
374,46.27026,374,42.50616,374,38.91208,374,33.18254,374,31.90205,374,30.25859,374,29.12745
373,46.22644,373,42.52073,373,38.88177,373,33.22932,373,31.89015,373,30.26052,373,29.12828
372,45.97475,372,42.53791,372,38.7088,372,33.158,372,31.87456,372,30.31497,372,29.18183
371,45.8835,371,42.44224,371,38.75593,371,33.08177,371,31.90213,371,30.36705,371,29.19602
370,46.04041,370,42.36502,370,38.81477,370,33.17124,370,31.93521,370,30.43025,370,29.26492
369,46.09692,369,42.38843,369,38.80561,369,33.3229,369,31.98812,369,30.48117,369,29.33487
368,45.98623,368,42.33682,368,38.79962,368,33.36473,368,31.95063,368,30.51174,368,29.3162
367,45.89311,367,42.24924,367,38.70245,367,33.24599,367,31.88833,367,30.53209,367,29.25565
366,45.81634,366,42.21637,366,38.65635,366,33.21207,366,31.89466,366,30.50248,366,29.29564
365,45.72772,365,42.18139,365,38.67733,365,33.20191,365,31.94379,365,30.48222,365,29.34395
364,45.73575,364,42.14436,364,38.68503,364,33.15766,364,32.00609,364,30.49559,364,29.30523
363,45.6977,363,42.1361,363,38.70185,363,33.2044,363,31.95989,363,30.52792,363,29.24999
362,45.6893,362,42.15071,362,38.62963,362,33.19633,362,31.87575,362,30.53786,362,29.28707
361,45.61838,361,42.06991,361,38.6045,361,33.20067,361,31.88617,361,30.47479,361,29.34548
360,45.52511,360,41.98844,360,38.59854,360,33.23436,360,31.98866,360,30.48931,360,29.35123
359,45.61321,359,41.97584,359,38.63747,359,33.27441,359,32.0074,359,30.51143,359,29.43969
358,45.57906,358,42.00504,358,38.62416,358,33.20931,358,31.91085,358,30.47449,358,29.39324
357,45.47273,357,42.02993,357,38.62321,357,33.20389,357,31.92465,357,30.47785,357,29.26588
356,45.34058,356,41.98493,356,38.59272,356,33.18634,356,31.97645,356,30.5612,356,29.3356
355,45.30081,355,41.94702,355,38.57292,355,33.20924,355,32.03832,355,30.5781,355,29.34727
354,45.34606,354,41.85267,354,38.53974,354,33.21526,354,31.98198,354,30.47988,354,29.28525
353,45.31274,353,41.86084,353,38.60756,353,33.21465,353,31.93484,353,30.52236,353,29.3544
352,45.18968,352,41.84342,352,38.57913,352,33.30571,352,31.96424,352,30.61474,352,29.42272
351,45.24513,351,41.69894,351,38.6105,351,33.27384,351,31.99752,351,30.49566,351,29.41431
350,45.07854,350,41.66751,350,38.56582,350,33.25918,350,31.98482,350,30.41397,350,29.33333
349,45.10203,349,41.65513,349,38.55471,349,33.3152,349,32.05408,349,30.5498,349,29.35728
348,45.0417,348,41.59145,348,38.49226,348,33.31546,348,32.02628,348,30.62247,348,29.39753
347,44.82033,347,41.5168,347,38.49669,347,33.20349,347,31.99806,347,30.57827,347,29.40638
346,44.92313,346,41.52188,346,38.50776,346,33.21368,346,32.0837,346,30.60137,346,29.40657
345,45.04027,345,41.54426,345,38.49598,345,33.23369,345,32.05332,345,30.68011,345,29.44043
344,44.90392,344,41.45176,344,38.55798,344,33.21587,344,32.07621,344,30.62529,344,29.43282
343,44.85695,343,41.50189,343,38.48239,343,33.20033,343,32.10267,343,30.59808,343,29.47675
342,44.58987,342,41.49334,342,38.41337,342,33.2204,342,32.09174,342,30.66929,342,29.40654
341,44.62905,341,41.55111,341,38.53243,341,33.22915,341,32.07692,341,30.64418,341,29.3957
340,44.80809,340,41.52279,340,38.59212,340,33.36143,340,32.04116,340,30.6927,340,29.42128
339,44.75819,339,41.45143,339,38.46543,339,33.35622,339,32.07024,339,30.65341,339,29.55932
338,44.50133,338,41.39474,338,38.27213,338,33.2394,338,32.01086,338,30.49929,338,29.4746
337,44.6403,337,41.31182,337,38.42973,337,33.20743,337,32.13232,337,30.55747,337,29.3904
336,44.49382,336,41.15677,336,38.45191,336,33.23369,336,32.01703,336,30.67139,336,29.43033
335,44.22585,335,41.08435,335,38.41049,335,33.19744,335,32.10966,335,30.64601,335,29.47505
334,44.2224,334,41.03265,334,38.22283,334,33.29236,334,32.11786,334,30.60761,334,29.39615
333,43.95225,333,40.9456,333,38.16371,333,33.20097,333,31.89001,333,30.52799,333,29.35171
332,43.88682,332,40.88164,332,38.07971,332,33.07656,332,31.76653,332,30.49786,332,29.30494
331,44.06564,331,40.88982,331,37.92108,331,33.09982,331,31.83,331,30.45926,331,29.25389
330,43.8646,330,40.84993,330,37.92608,330,33.12656,330,31.87936,330,30.48236,330,29.27329
329,43.71903,329,40.80191,329,38.04309,329,33.12864,329,31.91499,329,30.41254,329,29.25408
328,43.76367,328,40.62146,328,37.78175,328,32.98509,328,31.7205,328,30.31803,328,29.22985
327,43.52602,327,40.44007,327,37.64797,327,33.01637,327,31.71673,327,30.40325,327,29.15712
326,43.33039,326,40.44998,326,37.8033,326,32.93664,326,31.64616,326,30.37383,326,29.1006
325,43.42539,325,40.2649,325,37.69882,325,32.88893,325,31.71391,325,30.13185,325,29.05549
324,43.32919,324,40.11262,324,37.46556,324,32.75345,324,31.6269,324,29.9859,324,29.0311
323,43.09281,323,40.19516,323,37.42847,323,32.66485,323,31.52101,323,30.07631,323,28.78746
322,43.01477,322,40.35988,322,37.52734,322,32.54447,322,31.50752,322,30.08978,322,28.88234
321,42.90506,321,39.97499,321,37.32212,321,32.4675,321,31.36866,321,29.97823,321,28.7616
320,42.70027,320,39.85178,320,37.24639,320,32.37261,320,31.39186,320,29.87113,320,28.73276
319,42.54486,319,39.82329,319,37.09613,319,32.35549,319,31.21807,319,29.85356,319,28.61649
318,42.81328,318,39.85987,318,37.21477,318,32.53653,318,31.24011,318,29.87829,318,28.73644
317,42.87106,317,39.85574,317,37.23265,317,32.52624,317,31.28364,317,29.92304,317,28.72151
316,42.83339,316,39.75127,316,37.07136,316,32.39984,316,31.29358,316,29.84989,316,28.69795
315,42.87752,315,39.72146,315,37.00439,315,32.25334,315,31.22071,315,29.78388,315,28.64382
314,42.6563,314,39.52582,314,37.03789,314,32.18941,314,31.15403,314,29.61751,314,28.58244
313,42.44198,313,39.42721,313,37.01444,313,32.32375,313,31.13061,313,29.54301,313,28.50703
312,42.67116,312,39.52189,312,36.90176,312,32.20189,312,31.07841,312,29.63196,312,28.44232
311,42.54734,311,39.40991,311,36.76329,311,32.06292,311,30.97158,311,29.61364,311,28.48829
310,42.4753,310,39.35631,310,36.74331,310,32.13874,310,31.00887,310,29.5349,310,28.38839
309,42.42149,309,39.29941,309,36.73483,309,32.09244,309,30.95548,309,29.50457,309,28.36035
308,42.23937,308,39.25205,308,36.66148,308,31.97771,308,30.86464,308,29.41769,308,28.33193
307,42.18249,307,39.07078,307,36.65349,307,31.92145,307,30.8292,307,29.41616,307,28.30031
306,42.01155,306,39.1098,306,36.4791,306,31.89233,306,30.87253,306,29.29172,306,28.18475
305,42.04051,305,39.00797,305,36.3901,305,31.91012,305,30.81716,305,29.2386,305,28.16946
304,41.97313,304,38.85449,304,36.4098,304,31.78709,304,30.66535,304,29.15328,304,28.12595
303,41.88638,303,38.8829,303,36.29851,303,31.6696,303,30.55363,303,29.02674,303,27.96681
302,41.78312,302,38.7786,302,36.15616,302,31.63059,302,30.44853,302,29.01795,302,27.91947
301,41.50817,301,38.61169,301,35.96904,301,31.53308,301,30.39949,301,28.91627,301,27.78964
300,41.58869,300,38.73177,300,36.07756,300,31.48116,300,30.38015,300,28.84632,300,27.84402
299,41.52656,299,38.5948,299,35.95122,299,31.27332,299,30.15897,299,28.76022,299,27.57989
298,41.50585,298,38.48972,298,35.9663,298,31.19165,298,30.23252,298,28.60674,298,27.45655
297,41.66373,297,38.46531,297,35.97596,297,31.22709,297,30.11328,297,28.57387,297,27.48401
296,41.32372,296,38.41254,296,35.82861,296,31.07934,296,30.16181,296,28.54069,296,27.37829
295,41.31952,295,38.27169,295,35.6753,295,31.02917,295,29.9668,295,28.39756,295,27.26154
294,41.39509,294,38.33875,294,35.77208,294,31.08112,294,29.96493,294,28.40516,294,27.38031
293,41.62494,293,38.52936,293,35.91016,293,31.12991,293,30.09388,293,28.50636,293,27.36096
292,41.83873,292,38.64394,292,35.97266,292,31.14185,292,30.07957,292,28.43159,292,27.27046
291,41.68895,291,38.75506,291,36.04573,291,31.22588,291,30.04166,291,28.41551,291,27.29815
290,41.96074,290,38.93323,290,36.1485,290,31.35187,290,30.20642,290,28.52274,290,27.3305
289,42.24372,289,39.09977,289,36.31536,289,31.54085,289,30.42161,289,28.65987,289,27.57279
288,42.5736,288,39.20857,288,36.46161,288,31.63066,288,30.51095,288,28.76687,288,27.69351
287,42.70612,287,39.38262,287,36.69121,287,31.79909,287,30.60912,287,28.97028,287,27.76633
286,42.9873,286,39.74495,286,36.98949,286,32.04324,286,30.98186,286,29.21536,286,28.01806
285,43.39387,285,40.11051,285,37.20987,285,32.35529,285,31.1452,285,29.40649,285,28.18638
284,43.6331,284,40.47393,284,37.71578,284,32.80019,284,31.56321,284,29.62205,284,28.531
283,43.94903,283,40.85951,283,38.25058,283,33.08405,283,31.9253,283,30.04876,283,28.93429
282,44.29707,282,41.265,282,38.62211,282,33.59936,282,32.3746,282,30.53532,282,29.29625
281,44.73538,281,41.75324,281,39.06659,281,34.12947,281,32.78903,281,30.93916,281,29.68087
280,45.14983,280,42.22058,280,39.50987,280,34.56216,280,33.25742,280,31.41944,280,30.18349
279,45.2819,279,42.65576,279,40.07987,279,34.86489,279,33.87452,279,31.91437,279,30.48285
278,45.89499,278,43.23996,278,40.81149,278,35.43726,278,34.39138,278,32.46321,278,31.13057
277,46.21391,277,43.65841,277,41.08308,277,36.11327,277,34.90431,277,32.94431,277,31.6642
276,46.61035,276,44.06324,276,41.76995,276,36.63837,276,35.63074,276,33.56917,276,32.20214
275,46.86219,275,44.39705,275,42.28434,275,37.17644,275,36.11273,275,34.11591,275,32.81432
274,47.20227,274,44.90989,274,42.89878,274,37.74814,274,36.71532,274,34.59873,274,33.46851
273,47.44878,273,45.18643,273,43.24436,273,38.20007,273,37.39765,273,35.22984,273,33.98896
272,47.43617,272,45.48501,272,43.81692,272,38.53652,272,37.9149,272,35.77468,272,34.5668
271,47.95388,271,45.79941,271,44.31041,271,39.1321,271,38.25948,271,36.25038,271,35.05047
270,47.97602,270,45.9412,270,44.31975,270,39.32645,270,38.72755,270,36.77564,270,35.42981
269,47.86008,269,46.26473,269,44.5814,269,39.781,269,39.17838,269,37.2111,269,36.02383
268,47.91381,268,46.40954,268,44.92379,268,40.16383,268,39.66321,268,37.60772,268,36.35474
267,48.07252,267,46.34091,267,45.24169,267,40.38791,267,39.97609,267,37.87203,267,36.60448
266,47.98262,266,46.64466,266,45.15236,266,40.65489,266,40.30811,266,38.31109,266,37.02075
265,48.21225,265,46.75932,265,45.42331,265,40.71004,265,40.65271,265,38.59704,265,37.30061
264,48.16565,264,46.87412,264,45.74309,264,41.22777,264,40.81267,264,38.7588,264,37.6156
263,48.44615,263,46.93725,263,45.8651,263,41.39926,263,41.13157,263,39.04095,263,37.98283
262,48.48449,262,47.13533,262,45.9826,262,41.51006,262,41.3734,262,39.34374,262,38.19297
261,48.51481,261,47.21217,261,46.27818,261,41.89866,261,41.63221,261,39.60028,261,38.51768
260,48.65836,260,47.48854,260,46.54519,260,42.2138,260,42.04903,260,40.04734,260,38.86099
259,48.94329,259,47.64776,259,46.88669,259,42.39464,259,42.45673,259,40.38032,259,39.12857
258,48.80507,258,47.96856,258,47.05284,258,42.98137,258,42.62822,258,40.58909,258,39.46256
257,49.02599,257,48.06382,257,47.34384,257,43.11046,257,43.14871,257,41.05929,257,39.8294
256,49.03529,256,48.35786,256,47.52607,256,43.35095,256,43.59895,256,41.5659,256,40.27077
255,49.11244,255,48.52811,255,47.90238,255,43.89625,255,43.94179,255,41.93534,255,40.63045
254,49.30762,254,48.4134,254,48.08096,254,44.03052,254,44.17465,254,42.27371,254,41.10523
253,49.41883,253,48.54484,253,48.48598,253,44.34525,253,44.63409,253,42.67043,253,41.64822
252,49.50167,252,48.77467,252,48.65086,252,44.56066,252,45.09304,252,42.81655,252,41.86446
251,49.48967,251,49.0123,251,48.71435,251,44.88202,251,45.43037,251,43.37682,251,42.38204
250,49.21202,250,48.92555,250,48.94551,250,45.10906,250,45.57917,250,43.61365,250,42.67363
249,49.23348,249,48.99958,249,49.00858,249,45.16185,249,45.93848,249,43.90283,249,43.12257
248,49.31587,248,48.97877,248,49.12998,248,45.29157,248,46.06798,248,44.16456,248,43.31225
247,49.02636,247,48.8677,247,49.08473,247,45.65194,247,46.45341,247,44.51843,247,43.73776
246,49.20939,246,49.12065,246,49.10113,246,45.76536,246,46.58682,246,44.73963,246,43.8358
